16進位制	16进位制
著鞭	着鞭
著題	着题
著魔	着魔
睡著	睡着
睡著作	睡著作
睡著名	睡著名
睡著稱	睡著称
瞞著	瞒着
瞞著作	瞒著作
瞞著名	瞒著名
瞞著稱	瞒著称
瞧著	瞧着
瞧著作	瞧著作
瞧著名	瞧著名
瞧著稱	瞧著称
瞪著	瞪着
瞪著作	瞪著作
瞪著名	瞪著名
瞪著稱	瞪著称
矛盾著	矛盾着
智慧財產權	知识产权
智財權	知识产权
知識份子	知识分子
什勒斯維希	石勒苏益格
矽塵	矽尘
矽尘	矽尘
矽肺	矽肺
矽鋼	矽钢
矽钢	矽钢
矽	硅
矽片	硅片
矽谷	硅谷
硬體	硬件
硬碟	硬盘
磁碟	磁盘
磁軌	磁道
福馬林	福尔马林
富比士	福布斯
福著	福着
福著作	福著作
福著名	福著名
福著稱	福著称
福著述	福著述
私帳	私账
葛摩	科摩罗
象牙海岸	科特迪瓦
積極份子	积极分子
流動互聯網	移动互联网
行動網際網路	移动互联网
流動應用程式	移动应用程序
行動應用程式	移动应用程序
流動作業系統	移动操作系统
行動作業系統	移动操作系统
流動支付	移动支付
行動支付	移动支付
流動電話	移动电话
行動電話	移动电话
流動網絡	移动网络
行動網路	移动网络
流動裝置	移动设备
行動裝置	移动设备
程式設計師	程序员
程式控制	程控
空中巴士	空中客车
空氣品質	空气质量
空氣質素	空气质量
空著	空着
空著作	空著作
空著名	空著名
空著稱	空著称
空著述	空著述
穿著	穿着
穿著作	穿著作
穿著名	穿著名
穿著稱	穿著称
突尼西亞	突尼斯
立著	立着
立著《	立著《
立著作	立著作
立著名	立著名
立著有	立著有
立著称	立著称
立著稱	立著称
立著（	立著（
豎著	竖着
豎著作	竖著作
豎著名	竖著名
豎著稱	竖著称
站著	站着
站著作	站著作
站著名	站著名
站著稱	站著称
笑著	笑着
笑著作	笑著作
笑著名	笑著名
笑著稱	笑著称
筆帳	笔账
提比里西	第比利斯
等著被	等着被
策畫	策划
簽著	签着
簽帳	签账
運算元	算子
演算法	算法
算帳	算账
管著	管着
管著作	管著作
管著名	管著名
管著稱	管著称
管著述	管著述
管帳	管账
公尺	米
米諾魯	米诺鲁
糊塗帳	糊涂账
糖份	糖分
動畫影集	系列动画片
繫著	系着
索忍尼辛	索尔仁尼琴
索贊尼辛	索尔仁尼琴
蘇辛尼津	索尔仁尼琴
索馬利亞	索马里
索馬利蘭	索马里兰
正體中文	繁体中文
約翰尼斯堡	约翰内斯堡
強斯頓環礁	约翰斯顿岛
紀錄著	纪录着
縱著	纵着
組份	组分
織著	织着
經常帳	经常账
經濟帳	经济账
綁著	绑着
綁著作	绑著作
綁著名	绑著名
綁著稱	绑著称
結帳	结账
繞著	绕着
繞著作	绕著作
繞著名	绕著名
繞著稱	绕著称
繪著	绘着
繪著。	绘著。
繪著名	绘著名
繪著称	绘著称
繪著稱	绘著称
繪著，	绘著，
維根斯坦	维特根斯坦
繃著	绷着
緣份	缘分
纏著	缠着
纏著作	缠著作
纏著名	缠著名
纏著稱	缠著称
網站連結	网站链接
網路	网络
網頁連結	网页链接
羅蘋	罗宾
罩著	罩着
罩著作	罩著作
罩著名	罩著名
罩著稱	罩著称
美式足球	美式橄榄球
美著	美着
美著作	美著作
美著名	美著名
美著称	美著称
美著稱	美著称
美著述	美著述
耀著	耀着
耀著作	耀著作
耀著名	耀著名
耀著稱	耀著称
耀著述	耀著述
寮國	老挝
寮人民民主共和國	老挝人民民主共和国
寮保護國	老挝保护国
寮語	老挝语
考著	考着
考著作	考著作
考著名	考著名
考著稱	考著称
考著述	考著述
職份	职分
辛康納利	肖恩·康纳利
蕭士塔高維奇	肖斯塔科维奇
蕭士達高維契	肖斯塔科维奇
甘迺迪	肯尼迪
背著	背着
背著作	背著作
背著名	背著名
背著稱	背著称
膠著	胶着
膠著作	胶著作
膠著名	胶著名
膠著稱	胶著称
舒麥加	舒马赫
太空梭	航天飞机
穿梭機	航天飞机
愛滋	艾滋
晶元	芯片
晶片	芯片
蘇利南	苏里南
苦著	苦着
苦著作	苦著作
苦著名	苦著名
苦著稱	苦著称
英吋	英寸
英呎	英尺
共和联邦	英联邦
大英國協	英联邦
士多啤梨	草莓
螢光棒	荧光棒
螢屏	荧屏
霍爾斯坦	荷尔斯泰因
荷里活廣場	荷里活广场
荷里活道	荷里活道
摩斯比港	莫尔斯比港
莫士比港	莫尔斯比港
莫三比克	莫桑比克
雷伊泰灣	莱特湾
賴索托	莱索托
獲著	获着
穫著	获着
獲著作	获著作
獲著名	获著名
獲著錄	获著录
獲著稱	获著称
獲著者	获著者
獲著述	获著述
菁寮	菁寮
塞拉耶佛	萨拉热窝
落著	落着
落著作	落著作
落著名	落著名
落著稱	落著称
落著述	落著述
蒙特婁	蒙特利尔
蒙著	蒙着
蒙著作	蒙著作
蒙著名	蒙著名
蒙著稱	蒙著称
蒙著述	蒙著述
藍芽	蓝牙
蘊涵著	蕴涵着
薛丁格	薛定谔
藏著	藏着
藏著作	藏著作
藏著名	藏著名
藏著稱	藏著称
藏著述	藏著述
蘸著	蘸着
蘸著作	蘸著作
蘸著名	蘸著名
蘸著稱	蘸著称
虛擬實境	虚拟现实
蚵寮	蚵寮
行人路权	行人路权
行人路權	行人路权
行著	行着
行著書	行著书
行著作	行著作
行著名	行著名
行著稱	行著称
行著述	行著述
衣著	衣着
衣著作	衣著作
衣著名	衣著名
衣著称	衣著称
衣著稱	衣著称
表姊	表姐
裝著	装着
裝著作	装著作
裝著名	装著名
裝著稱	装著称
裹著	裹着
裹著作	裹著作
裹著名	裹著名
裹著稱	裹著称
威騰電子	西部数据
要帳	要账
覆蓋著	覆盖着
覆著	覆着
見著	见着
見著作	见著作
見著名	见著名
見著錄	见著录
見著稱	见著称
見著者	见著者
見著述	见著述
規畫	规划
視著	视着
視著作	视著作
視著名	视著名
視著稱	视著称
占士邦	詹姆斯·邦德
警戒著	警戒着
計畫	计划
電腦程式	计算机程序
認帳	认账
記錄著	记录着
記著	记着
記著作	记著作
記著名	记著名
記著稱	记著称
記著述	记著述
記帳	记账
片語	词组
試著	试着
試著書	试著书
試著作	试著作
試著名	试著名
試著稱	试著称
試著述	试著述
語著	语着
語著作	语著作
語著名	语著名
語著稱	语著称
語著述	语著述
說著	说着
說著作	说著作
說著稱	说著称
說著述	说著述
諾曼第	诺曼底
數據機	调制解调器
象徵著	象征着
象徵著名	象征著名
碧咸	贝克汉姆
貝南共和國	贝宁共和国
貝爾格勒	贝尔格莱德
負著	负着
貢寮	贡寮
帳上	账上
帳冊	账册
帳務	账务
帳單	账单
帳號	账号
帳外	账外
帳戶	账户
帳房	账房
帳本	账本
帳款	账款
帳目	账目
帳簿	账簿
帳面	账面
賒帳	赊账
賴著	赖着
賴帳	赖账
尚比亞	赞比亚
西臺人	赫梯人
西臺國	赫梯国
西臺帝	赫梯帝
西臺文	赫梯文
西臺族	赫梯族
西臺王	赫梯王
西臺語	赫梯语
赫魯雪夫	赫鲁晓夫
走為上著	走为上着
走著	走着
走著作	走著作
走著名	走著名
走著稱	走著称
趕著	赶着
趕著作	赶著作
趕著名	赶著名
趕著稱	赶著称
趁著	趁着
超連結	超链接
趴著	趴着
趴著作	趴著作
趴著名	趴著名
趴著稱	趴著称
躍著	跃着
躍著作	跃著作
躍著名	跃著名
躍著稱	跃著称
跑著	跑着
跑著作	跑著作
跑著名	跑著名
跑著稱	跑著称
跟著	跟着
跟著作	跟著作
跟著名	跟著名
跟著稱	跟著称
跪著	跪着
跪著作	跪著作
跪著名	跪著名
跪著稱	跪著称
跳著	跳着
跳著作	跳著作
跳著名	跳著名
跳著稱	跳著称
踏著	踏着
踏著作	踏著作
踏著名	踏著名
踏著稱	踏著称
踩著	踩着
踩著作	踩著作
踩著名	踩著名
踩著稱	踩著称
笨豬跳	蹦极跳
绑紧跳	蹦极跳
蹲著	蹲着
身份	身份
身分	身份
身著	身着
身著書	身著书
身著作	身著作
身著名	身著名
身著稱	身著称
身著述	身著述
躺著	躺着
躺著作	躺著作
躺著名	躺著名
躺著稱	躺著称
轉著	转着
轉著作	转著作
轉著名	转著名
轉著稱	转著称
轉著述	转著述
轉帳	转账
軟體	软件
軟體動物	软体动物
軟體家具	软体家具
軟體操	软体操
軟體生物	软体生物
軟碟機	软驱
載著	载着
載著作	载著作
載著名	载著名
載著錄	载著录
載著稱	载著称
載著述	载著述
達·文西	达·芬奇
達著	达着
三蘭港	达累斯萨拉姆
達文西	达芬奇
達著作	达著作
達著名	达著名
達著稱	达著称
達著述	达著述
過份	过分
過著	过着
過著作	过著作
過著名	过著名
過著稱	过著称
過著述	过著述
米高·奧雲	迈克尔·欧文
迎著	迎着
迎著《	迎著《
迎著名	迎著名
還帳	还账
演化論	进化论
進帳	进账
連著	连着
連結他	连结他
連著作	连著作
連著名	连著名
連著稱	连著称
連著述	连著述
杜拜	迪拜
迫著	迫着
疊代	迭代
追著	追着
追著作	追著作
追著名	追著名
追著稱	追著称
逆著	逆着
逆著作	逆著作
逆著名	逆著名
逆著稱	逆著称
逼著	逼着
逼著作	逼著作
逼著名	逼著名
逼著稱	逼著称
遇著	遇着
遇著作	遇著作
遇著名	遇著名
遇著称	遇著称
遇著稱	遇著称
遇著述	遇著述
遍佈著	遍布着
遍布著	遍布着
道瓊	道琼斯
道瓊斯	道琼斯
部份	部分
都等著	都等着
配合著	配合着
配合著名	配合著名
配著	配着
配著作	配著作
配著名	配著名
配著稱	配著称
配著述	配著述
釀著	酿着
釀著作	酿著作
釀著名	酿著名
釀著稱	酿著称
黎克特制	里氏
芮氏0	里氏0
芮氏1	里氏1
芮氏2	里氏2
芮氏3	里氏3
芮氏4	里氏4
芮氏5	里氏5
芮氏6	里氏6
芮氏7	里氏7
芮氏8	里氏8
芮氏9	里氏9
芮氏地震規模	里氏地震规模
芮氏規模	里氏震级
金夏沙	金沙萨
鈽	钚
鍅	钫
卯足	铆足
鋪著	铺着
鋪著作	铺著作
鋪著名	铺著名
鋪著稱	铺著称
鏈結	链接
銷帳	销账
鉲	锎
鎝	锝
鉳	锫
鑀	锿
鋂	镅
錼	镎
孟德爾遜	门德尔松
孟德爾頌	门德尔松
快閃記憶體	闪存
閉著	闭着
閉著作	闭著作
閉著名	闭著名
閉著稱	闭著称
閉著述	闭著述
問著	问着
問著《	问著《
問著名	问著名
問著有	问著有
閑著	闲着
閒著	闲着
閑著作	闲著作
閑著名	闲著名
閑著稱	闲著称
悶著	闷着
鬧著	闹着
聞著	闻着
聞著《	闻著《
聞著有	闻著有
亞塞拜然	阿塞拜疆
阿布達比	阿布扎比
撒拉威阿拉伯	阿拉伯撒哈拉
阿拉伯聯合大公國	阿拉伯联合酋长国
亞斯文	阿斯旺
附著	附着
附著作	附著作
附著名	附著名
附著稱	附著称
附著述	附著述
陋著	陋着
陋著作	陋著作
陋著名	陋著名
陋著稱	陋著称
陪著	陪着
陪著作	陪著作
陪著名	陪著名
陪著稱	陪著称
隨著	随着
隨著作	随著作
隨著名	随著名
隨著稱	随著称
隨著述	随著述
私隱	隐私
隔著	隔着
隔著作	隔著作
隔著名	隔著名
隔著稱	隔著称
耶加達	雅加达
雅爾達	雅尔塔
雅著	雅着
雅著書	雅著书
雅著作	雅著作
雅著名	雅著名
雅著称	雅著称
雅著稱	雅著称
雷諾瓦	雷诺阿
荷姆茲	霍尔木兹
荷尼阿拉	霍尼亚拉
非份	非分
靠著	靠着
靠著作	靠著作
靠著名	靠著名
靠著稱	靠著称
南韓	韩国
音樂錄影帶	音乐录影带
頂著	顶着
頂著作	顶著作
頂著名	顶著名
頂著稱	顶著称
順著	顺着
順著作	顺著作
順著名	顺著名
順著稱	顺著称
頓內次克	顿涅茨克
領著	领着
領著作	领著作
領著名	领著名
領著稱	领著称
飃著	飘着
飄著	飘着
飄著作	飘著作
飄著名	飘著名
飄著稱	飘著称
行政總裁	首席执行官
執行長、	首席执行官、
執行長。	首席执行官。
執行長，	首席执行官，
財務長、	首席财务官、
財務長。	首席财务官。
財務長，	首席财务官，
營運長、	首席运营官、
營運長。	首席运营官。
營運長，	首席运营官，
马哈地·穆罕默德	马哈蒂尔·穆罕默德
马哈迪·穆罕默德	马哈蒂尔·穆罕默德
马哈迪·莫哈末	马哈蒂尔·穆罕默德
馬爾地夫	马尔代夫
萌島	马恩岛
馬勒當拿	马拉多纳
馬拉度納	马拉多纳
馬拉威	马拉维
馬斯垂克	马斯特里赫特
馬爾他	马耳他
麻薩諸塞	马萨诸塞
馬利共和國	马里共和国
駛著	驶着
駕著	驾着
駕著作	驾著作
駕著名	驾著名
駕著稱	驾著称
罵著	骂着
罵著作	骂著作
罵著名	骂著名
罵著稱	骂著称
騎著	骑着
騎著作	骑著作
騎著名	骑著名
騎著稱	骑著称
騙著	骗着
騙著作	骗著作
騙著名	骗著名
騙著稱	骗著称
尖峰時段	高峰时段
尖峰時間	高峰时间
高畫質	高清
高著	高着
高著書	高著书
高著作	高著作
高著名	高著名
高著称	高著称
高著稱	高著称
魚雷	鱼雷
鱼雷	鱼雷
鹿寮	鹿寮
麥寮	麦寮
黏著	黏着
黏著作	黏著作
黏著名	黏著名
黏著稱	黏著称
蒙特內哥羅	黑山
滑鼠	鼠标
