㑮	𫝈
緇	缁
緉	𮉧
緊	紧
緋	绯
緌	𮉫
緍	𦈏
緑	绿
緒	绪
緓	绬
緔	绱
緗	缃
緘	缄
緙	缂
線	线 缐
緛	𬘰
緝	缉
緞	缎
緟	𫟆
締	缔
緡	缗
緣	缘
緤	𫄬
緦	缌
緧	𬘶
編	编
緩	缓
緪	𫄠
緬	缅
緮	𫄭
緯	纬
緰	𦈕
緱	缑
緲	缈
練	练
緶	缏
緷	𦈉
緸	𦈑
緹	缇
緺	𮉨
緻	致
緼	缊
縆	𫄠
縈	萦
縉	缙
縊	缢
縋	缒
縍	𫄰
縎	𦈔
縐	绉
縑	缣
縒	𬘷
縕	缊
縖	𬘻
縗	缞
縚	𬘺
縛	缚
縝	缜
縞	缟
縟	缛
縣	县
縧	绦
縩	𮉯
縫	缝
縬	𦈚
縭	缡
縮	缩
縯	演 𬙂
縰	𫄳
縱	纵
縲	缧
縳	䌸
縴	纤
縵	缦
縶	絷
縷	缕
縸	𫄲
縹	缥
縺	𦈐
總	总
績	绩
繀	𮉮
繂	𫄴
繃	绷
繅	缫
繆	缪
繈	𫄶
繎	𬙇
繏	𦈝
繐	穗
繒	缯
繓	𦈛
織	织
繕	缮
繗	𬙈
繙	𬙆
繚	缭
繞	绕
繟	𦈎
繡	绣
繢	缋
繨	𫄤
繩	绳
繪	绘
繫	系
繬	𫄱
繭	茧
繮	缰
繯	缳
繰	缲
繳	缴
繵	𬙉
繶	𫄷
繷	𫄣
繸	䍁
繹	绎
繻	𦈡
繼	继
繽	缤
繾	缱
繿	䍀
纁	𫄸
纃	𬘧
纆	𬙊
纇	颣
纈	缬
纊	纩
續	续
纍	累
纏	缠
纑	𮉡
纓	缨
纔	才
纕	𬙋
纖	纤
纗	𫄹
纘	缵
纚	𫄥
纜	缆
缽	钵
罃	䓨
罈	坛
罌	罂
罎	坛
罏	𬙎
罰	罚
罵	骂
罷	罢
罼	𬙝
羅	罗
羆	罴
羈	羁
羋	芈
羜	𬙯
羣	群
羥	羟
羨	羡
義	义
羵	𫅗
羶	膻
習	习
翬	翚
翹	翘
翽	翙
耆	芪
耬	耧
耮	耢
聖	圣
聞	闻
聯	联
聰	聪
聲	声
聳	耸
聵	聩
聶	聂
職	职
聹	聍
聻	𫆏
聽	听
聾	聋
肅	肃
脅	胁
脇	胁
脈	脉
脛	胫
脣	唇
脥	𣍰
脩	修
脫	脱
脹	胀
腎	肾
腖	胨
腡	脶
腦	脑
腪	𣍯
腫	肿
腳	脚
腸	肠
膃	腽
膒	𬁵
膕	腘
膚	肤
膞	䏝
膠	胶
膢	𦝼
膩	腻
膶	𬂀
膹	𪱥
膽	胆
膾	脍
膿	脓
臉	脸
臍	脐
臏	膑
臗	𣎑
臘	腊
臚	胪
臟	脏
臠	脔
臢	臜
臥	卧
臨	临
臺	台
與	与
興	兴
舉	举
舊	旧
舘	馆
艙	舱
艣	橹 𫇛
艤	舣
艦	舰
艪	橹
艫	舻
艱	艰
艷	艳
芻	刍
苧	苎
茲	兹
荊	荆
莊	庄
莖	茎
莢	荚
莧	苋
菕	芲
菣	𬜤
華	华
菴	庵
菸	烟
萇	苌
萊	莱
萬	万
萴	荝
萵	莴
葉	叶
葒	荭
葝	𫈎
葤	荮
葦	苇
葯	药
葷	荤
葻	𬜥
蒍	𫇭
蒐	搜
蒓	莼
蒔	莳
蒕	蒀
蒞	莅
蒭	𫇴
蒼	苍
蓀	荪
蓆	席
蓋	盖
蓧	𦰏
蓮	莲
蓯	苁
蓴	莼
蓽	荜
蔄	𬜬
蔔	卜
蔘	参
蔞	蒌
蔣	蒋
蔥	葱
蔦	茑
蔭	荫
蔮	𬜿
蔯	𫈟
蔿	𫇭
蕁	荨
蕆	蒇
蕎	荞
蕒	荬
蕓	芸
蕕	莸
蕘	荛
蕝	𫈵
蕟	𬜧
蕢	蒉
蕩	荡
蕪	芜
蕭	萧
蕳	𫈉
蕷	蓣
蕽	𫇽
薀	蕰
薆	𫉁
薈	荟
薉	𬜨
薊	蓟
薌	芗
薑	姜
薔	蔷
薘	荙
薟	莶
薦	荐
薩	萨
薰	熏
薲	𬝯
薳	䓕
薴	苧
薵	䓓
薹	苔 薹
薺	荠
藉	藉 借
藍	蓝
藎	荩
藖	𬜾
藝	艺
藥	药
藪	薮
藬	𬞘
藭	䓖
藴	蕴
藶	苈
藷	𫉄
藹	蔼
藺	蔺
蘀	萚
蘄	蕲
蘆	芦
蘇	苏
蘊	蕴
蘋	苹
蘗	蘖
蘚	藓
蘞	蔹
蘟	𦻕
蘢	茏
蘫	𬞫
蘭	兰
蘹	𬜸
蘺	蓠
蘿	萝
虆	蔂
虉	𬟁
處	处
虖	呼
虛	虚
虜	虏
號	号
虧	亏
虯	虬
蛺	蛱
蛻	蜕
蜆	蚬
蜵	𬠔
蜽	𮔊
蝀	𬟽
蝕	蚀
蝜	𮔅
蝟	猬
蝦	虾
蝨	虱
蝸	蜗
螄	蛳
螞	蚂
螢	萤
螮	䗖
螻	蝼
螿	螀
蟂	𫋇
蟄	蛰
蟈	蝈
蟎	螨
蟘	𫋌
蟜	𫊸
蟣	虮
蟧	𮔚
蟬	蝉
蟯	蛲
蟲	虫
蟳	𫊻
蟶	蛏
蟷	𬠅
蟻	蚁
蠀	𧏗
蠁	蚃
蠅	蝇
蠆	虿
蠈	𬠠
蠍	蝎
蠐	蛴
蠑	蝾
蠔	蚝
蠙	𧏖
蠞	𬝋
蠟	蜡
蠣	蛎
蠦	𫊮
蠨	蟏
蠱	蛊
蠶	蚕
蠻	蛮
蠾	𧑏
衆	众
衊	蔑
術	术
衕	同
衚	胡
衛	卫
衝	冲
衹	衹 只
袞	衮
裊	袅
裌	𬡒
裏	里
補	补
裝	装
裡	里
裲	𮖁
製	制
複	复
褌	裈
褘	袆
褲	裤
褳	裢
褸	褛
褺	𬡓
褻	亵
襀	𫌀
襂	𫌄
襆	幞
襇	裥
襉	裥
襏	袯
襓	𫋹
襖	袄
襗	𫋷
襘	𫋻
襝	裣
襠	裆
襤	褴
襪	袜
襬	䙓 摆
襭	𮖱
襯	衬
襰	𧝝
襲	袭
襴	襕
襵	𫌇
襸	𬡷
覆	覆 复
覈	核
見	见
覎	觃
規	规
覒	𬆾
覓	觅
視	视
覗	𬢊
覘	觇
覛	𫌪
覜	𬢋
覟	𬢌
覡	觋
覢	𬊦
覤	𬟪
覥	觍
覦	觎
覩	𬢎
親	亲
覬	觊
覭	𬢒
覯	觏
覲	觐
覴	𬢔
覷	觑
覹	𫌭
覺	觉
覼	𫌨
覽	览
覿	觌
觀	观
觴	觞
觶	觯
觸	触
訁	讠
訂	订
訃	讣
計	计
訊	讯
訌	讧
討	讨
訏	𬣙
訐	讦
訑	𫍙
訒	讱
訓	训
訕	讪
訖	讫
託	托 讬
記	记
訛	讹
訜	𫍛
訝	讶
訞	𫍚
訟	讼
訢	䜣
訣	诀
訥	讷
訨	𫟞
訩	讻
訪	访
設	设
許	许
訴	诉
訶	诃
診	诊
註	注 𬣣
証	证
詀	𧮪
詁	诂
詃	𬣤
詆	诋
詊	𫟟
詌	𬣠
詎	讵
詏	𬣦
詐	诈
詑	𫍡
詒	诒
詓	𫍜
詔	诏
評	评
詖	诐
詗	诇
詘	诎
詛	诅
詜	𬣥
詝	𬣞
詞	词
詠	咏
詡	诩
詢	询
詣	诣
試	试
詩	诗
詪	𬣳
詫	诧
詬	诟
詭	诡
詮	诠
詯	𬣰
詰	诘
話	话
該	该
詳	详
詴	𬣩
詵	诜
詶	𬣱
詷	𫍣
詺	𬣮
詼	诙
詿	诖
誁	𬣲
誂	𫍥
誄	诔
誅	诛
誆	诓
誇	夸
誋	𫍪
誌	志
認	认
誎	𬣷
誏	𬣼
誑	诳
誒	诶
誔	𬣻
誕	诞
誘	诱
誚	诮
語	语
誠	诚
誡	诫
誣	诬
誤	误
誥	诰
誦	诵
誨	诲
說	说
誫	𫍨
説	说
誰	谁
課	课
誳	𫍮
誴	𫟡
誶	谇
誷	𫍬
誹	诽
誺	𫍧
誼	谊
誾	訚
調	调
諂	谄
諄	谆
談	谈
諉	诿
請	请
諍	诤
諎	𬣾
諏	诹
諑	诼
諒	谅
諓	𬣡
諕	𬤀
論	论
諗	谂
諛	谀
諜	谍
諝	谞
諞	谝
諟	𬤊
諠	𬤎
諡	谥
諢	诨
諣	𫍩
諤	谔
諥	𫍳
諦	谛
諧	谐
諫	谏 𫍝
諭	谕
諮	咨 谘
諯	𫍱
諰	𫍰
諱	讳
諲	𬤇
諳	谙
諴	𫍯
諶	谌
諷	讽
諸	诸
諺	谚
諻	𬤍
諼	谖
諾	诺
謀	谋
謁	谒
謂	谓
謄	誊
謅	诌
謆	𫍸
謉	𫍷
謊	谎
謌	𬤐
謎	谜
謏	𫍲
謐	谧
謔	谑
謖	谡
謗	谤
謙	谦
謚	谥
講	讲
謝	谢
謠	谣
謡	谣
謨	谟
謫	谪
謬	谬
謭	谫
謯	𫍹
謰	𬣽
謱	𫍴
謲	𬤄
謳	讴
謴	𬤆
謸	𫍵
謹	谨
謼	呼 𬤙
謾	谩
譁	哗
譂	𫟠
譄	𬤤
譅	䜧
譆	𫍻
譈	𬤣
證	证
譊	𫍢
譎	谲
譏	讥
譐	𬤢
譑	𫍤
譓	𬤝
譔	𬤥
譖	谮
識	识
譙	谯
譚	谭
譜	谱
譞	𫍽
譟	噪 𬤨
譡	𬣭
譨	𫍦
譫	谵
譭	毁
譯	译
議	议
譴	谴
護	护
譸	诪
譹	𬤫
譺	𬤩
譻	𬢯
譽	誉
譾	谫 𫍿
譿	𬤭
讀	读
讅	谉
讆	𬣀
讇	𬤛
讉	𬤦
變	变
讋	詟
讌	䜩
讎	雠
讒	谗
讓	让
讔	𮙊
讕	谰
讖	谶
讙	𬤰
讚	赞 𬤮
讜	谠
讞	谳
讟	𮙋
谿	溪
豈	岂
豎	竖
豐	丰
豔	艳
豬	猪
豵	𫎆
豶	豮
貍	狸
貓	猫
貗	𫎌
貙	䝙
貝	贝
貞	贞
貟	贠
負	负
財	财
貢	贡
貧	贫
貨	货
販	贩
貪	贪
貫	贯
責	责
貯	贮
貰	贳
貱	𬥶
貲	赀
貳	贰
貴	贵
貶	贬
買	买 𧹒
貸	贷
貺	贶
費	费
貼	贴
貽	贻
貿	贸
賀	贺
賁	贲
賂	赂
賃	赁
賄	贿
賅	赅
資	资
賈	贾
賊	贼
賑	赈
賒	赊
賓	宾
賕	赇
賗	𬥸
賙	赒
賚	赉
賜	赐
賝	𫎩
賞	赏
賟	𧹖
賠	赔
賡	赓
賢	贤
賣	卖
賤	贱
賦	赋
賧	赕
質	质
賫	赍
賬	账
賭	赌
賰	䞐
賴	赖
賵	赗
賶	𬥳
賸	剩 𬂉
賺	赚
賻	赙
購	购
賽	赛
賾	赜
贂	𬥞
贃	𧹗
贄	贽
贅	赘
贇	赟
贈	赠
贉	𫎫
贊	赞
贋	赝
贍	赡
贏	赢
贐	赆
贑	𫎬
贓	赃
贔	赑
贕	𫧿
贖	赎
贗	赝
贚	𫎦
贛	赣
贜	赃
赬	赪
趕	赶
趙	赵
趨	趋
趲	趱
跡	迹
跼	局
踐	践
踚	𬦧
踰	逾
踴	踊
蹌	跄
蹔	𫏐
蹕	跸
蹟	迹
蹠	跖
蹡	𬧀
蹣	蹒
蹤	踪
蹳	𫏆
蹺	跷
蹻	𫏋
躀	𬦻
躂	跶
躉	趸
躊	踌
躋	跻
躍	跃
躎	䟢
躑	踯
躒	跞
躓	踬
躕	蹰
躘	𨀁
躚	跹
躝	𨅬
躡	蹑
躥	蹿
躦	躜
躪	躏
軀	躯
軂	𬧤
軇	𮜶
軉	𨉗
車	车
軋	轧
軌	轨
軍	军
軏	𫐄
軑	轪
軒	轩
軔	轫
軕	𫐅
軗	𨐅
軛	轭
軜	𫐇
軝	𬨂
軞	𬨁
軟	软
軤	轷
軨	𫐉
軫	轸
軬	𫐊
軮	𬨄
軱	𮝴
軲	轱
軷	𫐈
軸	轴
軹	轵
軺	轺
軻	轲
軼	轶
軾	轼
軿	𫐌
輀	𮝵
較	较
輄	𨐈
輅	辂
輆	𬨇
輇	辁
輈	辀
載	载
輊	轾
輋	𪨶
輒	辄
輓	挽 𬨈
輔	辅
輕	轻
輖	𫐏
輗	𫐐
輛	辆
輜	辎
輝	辉
輞	辋
輟	辍
輢	𫐎
輥	辊
輦	辇
輨	𫐑
輩	辈
輪	轮
輬	辌
輮	𫐓
輯	辑
輳	辏
輴	𮝸
輵	𬨍
輶	𬨎
輷	𫐒
輸	输
輻	辐
輼	辒
輾	辗
輿	舆
轀	辒
轂	毂
轄	辖
轅	辕
轆	辘
轇	𫐖
轈	𬨓
轉	转
轊	𫐕
轍	辙
轎	轿
轐	𫐗
轒	𮝷
轔	辚
轕	𮝺
轗	𫐘
轘	𮝹
轝	𬛼
轟	轰
轠	𫐙
轡	辔
轢	轹
轣	𫐆
轤	轳
辦	办
辭	辞
辮	辫
辯	辩
農	农
迴	回
迺	乃
逕	迳
這	这
連	连
週	周
進	进
遊	游
運	运
過	过
達	达
違	违
遙	遥
遜	逊
遞	递
遠	远
遡	溯
適	适
遱	𫐷
遲	迟
遷	迁
選	选
遺	遗
遼	辽
邁	迈
還	还
邇	迩
邊	边
邏	逻
邐	逦
郟	郏
郲	𬩾
郵	邮
鄆	郓
鄉	乡
鄒	邹
鄔	邬
鄖	郧
鄟	𫑘
鄧	邓
鄩	𬩽
鄭	郑
鄮	𬪍
鄰	邻
鄲	郸
鄳	𫑡
鄴	邺
鄶	郐
鄺	邝
鄽	𫑮
酇	酂
酈	郦
醃	腌
醆	𬪨
醖	酝
醜	丑
醞	酝
醟	蒏
醣	糖
醦	𮠳
醧	𬪧
醫	医
醬	酱
醯	酰
醱	酦
醲	𬪩
醶	𫑷
醼	燕
釀	酿
釁	衅
釃	酾
釅	酽
釋	释
釐	厘
釒	钅
釓	钆
釔	钇
釕	钌
釗	钊
釘	钉
釙	钋
釚	𫟲
針	针
釟	𫓥
釣	钓
釤	钐
釦	扣 𬬪
釧	钏
釨	𫓦
釩	钒
釫	𬬨
釬	𬬧
釭	𮣲
釲	𫟳
釳	𨰿
釴	𬬩
釵	钗
釷	钍
釹	钕
釺	钎
釽	𬬲
釾	䥺
釿	𬬱
鈀	钯
鈁	钫
鈂	𬬵
鈃	钘
鈄	钭
鈅	钥
鈆	𫓪
鈇	𫓧
鈈	钚
鈉	钠
鈋	𨱂
鈍	钝
鈎	钩
鈐	钤
鈑	钣
鈒	钑
鈓	𬬯
鈔	钞
鈕	钮
鈖	𫟴
鈗	𫟵
鈚	𬬫
鈛	𫓨
鈜	𮣳
鈞	钧
鈠	𨱁
鈡	钟
鈣	钙
鈥	钬
鈦	钛
鈧	钪
鈮	铌
鈯	𨱄
鈰	铈
鈲	𨱃
鈳	钶
鈴	铃
鈶	𬭀
鈷	钴
鈸	钹
鈹	铍
鈺	钰
鈼	𬬽
鈽	钸
鈾	铀
鈿	钿
鉀	钾
鉁	𨱅
鉅	巨 钜
鉆	钻
鉈	铊
鉉	铉
鉊	𬬿
鉋	铇
鉍	铋
鉏	𬬺
鉐	𬬷
鉑	铂
鉔	𫓬
鉕	钷
鉗	钳
鉚	铆
鉛	铅
鉝	𫟷
鉞	钺
鉠	𫓭
鉢	钵
鉤	钩
鉥	𬬸
鉦	钲
鉧	𬭁
鉬	钼
鉭	钽
鉮	𬬹
鉳	锫
鉶	铏
鉷	𫟹
鉸	铰
鉺	铒
鉻	铬
鉽	𫟸
鉾	𫓴
鉿	铪
銀	银
銁	𫓲
銂	𫟻
銃	铳
銅	铜
銈	𫓯
銊	𫓰
銍	铚
銏	𫟶
銑	铣
銓	铨
銔	𬭃
銖	铢
銗	𬭅
銘	铭
銚	铫
銛	铦
銜	衔
銠	铑
銣	铷
銥	铱
銦	铟
銨	铵
銩	铥
銪	铕
銫	铯
銬	铐
銱	铞
銲	𬭍
銳	锐
銶	𨱇
銷	销
銹	锈
銻	锑
銼	锉
鋁	铝
鋂	镅
鋃	锒
鋄	𫓸
鋅	锌
鋇	钡
鋉	𨱈
鋋	𮣴
鋌	铤
鋏	铗
鋐	𬭎
鋒	锋
鋗	𫓶
鋘	𬭌
鋙	铻
鋝	锊
鋟	锓
鋠	𫓵
鋣	铘
鋤	锄
鋥	锃
鋦	锔
鋨	锇
鋩	铓
鋪	铺
鋭	锐
鋮	铖
鋯	锆
鋰	锂
鋱	铽
鋶	锍
鋸	锯
鋹	𬬮
鋼	钢
錀	𬬭
錁	锞
錂	𨱋
錄	录
錆	锖
錇	锫
錈	锩
錋	𬭖
錏	铔
錐	锥
錑	𬭜
錒	锕
錕	锟
錗	𬭗
錘	锤
錙	锱
錚	铮
錛	锛
錜	𫓻
錝	𫓽
錞	𬭚
錟	锬
錠	锭
錡	锜
錢	钱
錣	𮣵
錤	𫓹
錥	𫓾
錦	锦
錨	锚
錩	锠
錪	𬭓
錫	锡
錭	𬭕
錮	锢
錯	错
録	录
錳	锰
錶	表
錸	铼
錼	镎
錽	𫓸
鍀	锝
鍁	锨
鍃	锪
鍄	𨱉
鍅	钫
鍆	钔
鍇	锴
鍈	锳
鍉	𫔂
鍊	炼 链 𫔀
鍋	锅
鍍	镀
鍏	𬬬
鍒	𫔄
鍔	锷
鍘	铡
鍚	钖
鍛	锻
鍠	锽
鍣	𬭡
鍤	锸
鍥	锲
鍩	锘
鍬	锹
鍭	𬭤
鍮	𨱎
鍯	𬭥
鍰	锾
鍵	键
鍶	锶
鍺	锗
鍼	针
鍾	钟 锺
鎂	镁
鎄	锿
鎇	镅
鎈	𫟿
鎊	镑
鎋	𬭪
鎌	镰
鎍	𫔅
鎒	𬭦
鎓	𬭩
鎔	镕
鎖	锁
鎗	𬬰
鎘	镉
鎙	𫔈
鎚	锤 𬭨
鎛	镈
鎝	𨱏
鎞	𫔇
鎡	镃
鎢	钨
鎣	蓥
鎦	镏
鎧	铠
鎩	铩
鎪	锼
鎬	镐
鎭	镇
鎮	镇
鎯	𨱍
鎰	镒
鎲	镋
鎳	镍
鎵	镓
鎶	鿔
鎷	𨰾
鎸	镌
鎿	镎
鏁	𬭲
鏃	镞
鏆	𨱌
鏇	镟 旋
鏈	链
鏉	𨱒
鏌	镆
鏍	镙
鏏	𬭬
鏐	镠
鏑	镝
鏒	𬭝
鏔	𬭰
鏗	铿
鏘	锵
鏚	戚 𬭭
鏜	镗
鏝	镘
鏞	镛
鏟	铲
鏡	镜
鏢	镖
鏤	镂
鏥	𫔊
鏦	𫓩
鏨	錾
鏰	镚
鏵	铧
鏷	镤
鏹	镪
鏺	䥽
鏻	𬭸
鏽	锈
鏾	𫔌
鐀	𬭢
鐃	铙
鐄	𨱑
鐇	𫔍
鐈	𫓱
鐊	𬭏
鐋	铴
鐍	𫔎
鐎	𨱓
鐏	𨱔
鐐	镣
鐒	铹
鐓	镦
鐔	镡
鐗	锏
鐘	钟
鐙	镫
鐝	镢
鐠	镨
鐥	䦅
鐦	锎
鐧	锏
鐨	镄
鐩	𬭼
鐪	𫓺
鐫	镌
鐮	镰
鐯	䦃
鐲	镯
鐳	镭
鐴	𬭽
鐵	铁
鐶	镮
鐸	铎
鐺	铛
鐻	𮣷
鐼	𫔁
鐽	𫟼
鐿	镱
鑀	锿
鑄	铸
鑇	𬭉
鑉	𫠁
鑊	镬
鑌	镔
鑏	𬬾
鑑	鉴
鑒	鉴
鑔	镲
鑕	锧
鑙	𬭿
鑞	镴
鑠	铄
鑡	𬭔
鑢	𮣶
鑣	镳
鑥	镥
鑪	𬬻
鑭	镧
鑮	𬮁
鑰	钥
鑱	镵
鑲	镶
鑴	𫔔
鑷	镊
鑹	镩
鑼	锣
鑽	钻
鑾	銮
鑿	凿
钁	镢 䦆
钂	镋
镟	旋
長	长
門	门
閂	闩
閃	闪
閄	𬮘
閅	𮤫
閆	闫
閈	闬
閉	闭
開	开 𫔭
閌	闶
閍	𨸂
閎	闳
閏	闰
閐	𨸃
閑	闲
閒	闲 𫔮
間	间
閔	闵
閗	𫔯
閘	闸
閜	𬮠
閝	𫠂
閞	𫔰
閟	𮤲
閡	阂
閣	阁
閤	合 𬮤
閥	阀
閦	𬮥
閧	𬮢
閨	闺
閩	闽
閫	阃
閬	阆
閭	闾
閯	𬮪
閱	阅
閲	阅
閵	𫔴
閶	阊
閹	阉
閻	阎
閼	阏
閽	阍
閾	阈
閿	阌
闃	阒
闄	𬮲
闆	板 𬮳
闇	暗 𬮴
闈	闱
闉	𬮱
闊	阔
闋	阕
闌	阑
闍	阇
闐	阗
闑	𫔶
闒	阘
闓	闿
闔	阖
闕	阙
闖	闯
闚	𬮭
闞	阚
闠	阓
闡	阐
闢	辟
闤	阛
闥	闼
阪	阪 坂
陘	陉
陝	陕
陞	升
陣	阵
陰	阴
陳	陈
陸	陆
陽	阳
陿	𬯅
隉	陧
隊	队
階	阶
隑	𬮿
隕	陨
際	际
隝	𬮻
隤	𬯎
隨	随
險	险
隮	𬯀
隯	陦
隱	隐
隴	陇
隸	隶
隻	只
雋	隽
雖	虽
雙	双
雛	雏
雜	杂
雞	鸡
離	离
難	难
雲	云
電	电
霢	霡
霣	𫕥
霧	雾
霼	𪵣
霽	霁
靂	雳
靄	霭
靆	叇
靈	灵
靉	叆
靚	靓
靜	静
靝	靔
靦	腼 䩄
靧	𫖃
靨	靥
鞀	鼗
鞉	鼗
鞏	巩
鞝	绱
鞦	秋
鞽	鞒
鞾	𫖇
韁	缰
韃	鞑
韆	千
韉	鞯
韋	韦
韌	韧
韍	韨
韓	韩
韔	𮧴
韙	韪
韚	𫠅
韛	𫖔
韜	韬
韝	鞲 𫖕
韞	韫
韠	𫖒
韡	𮧵
韢	𬰶
韻	韵
響	响
頁	页
頂	顶
頃	顷
頄	𬱓
項	项
順	顺
頇	顸
須	须
頊	顼
頌	颂
頍	𫠆
頎	颀
頏	颃
預	预
頑	顽
頒	颁
頓	顿
頔	𬱖
頕	𬱗
頖	𬱙
頗	颇
領	领
頛	𬱜
頜	颌
頠	𬱟
頡	颉
頢	𬱠
頤	颐
頦	颏
頫	𫖯
頭	头
頮	颒
頰	颊
頲	颋
頴	颕
頵	𫖳
頷	颔
頸	颈
頹	颓
頻	频
頽	颓
顁	𬱫
顂	𩓋
顃	𩖖
顅	𫖶
顆	颗
顊	𬱪
題	题
額	额
顎	颚
顏	颜
顐	𬱢
顒	颙
顓	颛
顔	颜
顗	𫖮
願	愿 𫖸
顙	颡
顛	颠
類	类
顢	颟
顣	𫖹
顥	颢
顧	顾
顫	颤
顬	颥
顯	显
顰	颦
顱	颅
顳	颞
顴	颧
風	风
颭	飐
颮	飑
颯	飒
颰	𩙥
颱	台
颳	刮
颴	𬱽
颶	飓
颷	𩙪
颸	飔
颹	𬱵
颺	飏
颻	飖
颼	飕
颽	𬱼
颾	𩙫
颿	𬳳
飀	飗
飂	𮨵
飄	飘
飆	飙
飈	飚
飉	𬲅
飋	𫗋
飛	飞
飠	饣
飢	饥
飣	饤
飤	𬲦
飥	饦
飦	𫗞
飩	饨
飪	饪
飫	饫
飭	饬
飯	饭
飱	飧
飲	饮
飴	饴
飵	𫗢
飶	𫗣
飷	𬲭
飼	饲
飽	饱
飾	饰
飿	饳
餀	𮩜
餃	饺
餄	饸
餅	饼
餉	饷
養	养
餌	饵
餎	饹
餏	饻
餑	饽
餒	馁
餓	饿
餔	𫗦
餕	馂
餖	饾
餗	𫗧
餘	余 馀
餚	肴 𬳁
餛	馄
餜	馃
餞	饯
餟	𬳂
餡	馅
餣	𬲼
餦	𫗠
餧	𫗪
館	馆
餪	𫗬
餫	𫗥
餬	糊 𫗫
餭	𫗮
餰	𬳆
餱	糇 𫗯
餲	𮩝
餳	饧
餵	喂 𫗭
餶	馉
餷	馇
餸	𩠌
餹	𬳍
餺	馎
餼	饩
餾	馏
餿	馊
饀	𬳊
饁	馌
饃	馍
饅	馒
饆	𮩛
饈	馐
饉	馑
饊	馓
饋	馈
饌	馔
饐	𮩞
饑	饥
饒	饶
饗	飨
饘	𫗴
饜	餍
饞	馋
饟	𫗵
饠	𫗩
饢	馕
馩	𬳟
馬	马
馭	驭
馮	冯
馯	𫘛
馱	驮
馳	驰
馴	驯
馹	驲
馼	𫘜
駁	驳
駃	𫘝
駉	𬳶
駊	𫘟
駍	𬳴
駎	𩧨
駐	驻
駑	驽
駒	驹
駓	𬳵
駔	驵
駕	驾
駘	骀
駙	驸
駚	𩧫
駛	驶
駝	驼
駞	𫘞
駟	驷
駡	骂
駢	骈
駤	𫘠
駧	𩧲
駩	𩧴
駪	𬳽
駫	𫘡
駭	骇
駰	骃
駱	骆
駴	𮪢
駶	𩧺
駸	骎
駹	𮪡
駺	𬴀
駻	𫘣
駼	𬳿
駿	骏
騁	骋
騂	骍
騃	𫘤
騄	𫘧
騅	骓
騉	𫘥
騊	𫘦
騌	骔
騍	骒
騎	骑
騏	骐
騑	𬴂
騔	𩨀
騖	骛
騙	骗
騚	𩨊
騜	𫘩
騝	𩨃
騞	𬴃
騟	𩨈
騠	𫘨
騣	𮪣
騤	骙
騧	䯄
騪	𩨄
騫	骞
騭	骘
騮	骝
騯	𬴅
騰	腾
騱	𫘬
騲	𮪤
騴	𫘫
騵	𫘪
騶	驺
騷	骚
騸	骟
騹	𬴆
騻	𫘭
騼	𫠋
騾	骡
驀	蓦
驁	骜
驂	骖
驃	骠
驄	骢 𩨂
驅	驱
驊	骅
驋	𩧯
驌	骕
驍	骁
驎	𬴊
驏	骣
驐	𮪥
驓	𫘯
驕	骄
驖	𬴋
驗	验
驙	𫘰
驚	惊
驛	驿
驟	骤
驢	驴
驤	骧
驥	骥
驦	骦
驨	𫘱
驩	𬴐
驪	骊
驫	骉
骯	肮
髏	髅
髒	脏
體	体
髕	髌
髖	髋
髮	发
鬆	松
鬍	胡
鬖	𩭹
鬚	须
鬞	𬴩
鬠	𫘽
鬢	鬓
鬥	斗
鬦	𫔯
鬧	闹
鬨	哄
鬩	阋
鬮	阄
鬱	郁
鬹	鬶
魎	魉
魘	魇
魚	鱼
魛	鱽
魜	𬶁
魝	𬶀
魟	𫚉
魡	𬶄
魢	鱾
魣	𮬛
魥	𩽹
魦	𫚌
魨	鲀
魪	𬶇
魯	鲁
魴	鲂
魵	𫚍
魷	鱿
魺	鲄
魽	𫠐
鮀	𬶍
鮁	鲅
鮃	鲆
鮄	𫚒
鮅	𫚑
鮆	𫚖
鮈	𬶋
鮊	鲌
鮋	鲉
鮍	鲏
鮎	鲇
鮐	鲐
鮑	鲍
鮒	鲋
鮓	鲊
鮘	𬶌
鮚	鲒
鮜	鲘
鮝	鲞
鮞	鲕
鮟	𩽾
鮠	𬶏
鮡	𬶐
鮣	䲟
鮤	𫚓
鮦	鲖
鮨	𮬜
鮪	鲔
鮫	鲛
鮭	鲑
鮮	鲜
鮯	𫚗
鮰	𫚔
鮳	鲓
鮵	𫚛
鮶	鲪
鮷	𬶕
鮸	𩾃
鮺	鲝
鮿	𫚚
鯀	鲧
鯁	鲠
鯄	𩾁
鯆	𫚙
鯇	鲩
鯉	鲤
鯊	鲨
鯌	𬶔
鯒	鲬
鯔	鲻
鯕	鲯
鯖	鲭
鯗	鲞
鯛	鲷
鯝	鲴
鯞	𫚡
鯡	鲱
鯢	鲵
鯤	鲲
鯧	鲳
鯨	鲸
鯪	鲮
鯫	鲰
鯬	𫚞
鯰	鲶
鯱	𩾇
鯴	鲺
鯶	𩽼
鯷	鳀
鯹	𬶢
鯻	𬶟
鯽	鲫
鯾	𫚣
鯿	鳊
鰁	鳈
鰂	鲗
鰃	鳂
鰆	䲠
鰇	𬶧
鰈	鲽
鰉	鳇
鰊	𬶠
鰋	𫚢
鰌	䲡
鰍	鳅
鰏	鲾
鰐	鳄
