0余	0餘
呆致	呆致
呆致致	呆緻緻
告侥	告饒
告别	告別
周一	週一
周一岳	周一嶽
周三	週三
周二	週二
周五	週五
周休	週休
周六	週六
周刊	週刊
周四	週四
周报	週報
周年	週年
周息	週息
周数	週數
周日	週日
周会	週會
周期	週期
周末	週末
周岁	週歲
周历	週曆
周波	週波
周游	周遊
周润	周潤
周润发	周潤發
周济	賙濟
周而	周而
周而复始	週而復始
周薪	週薪
周记	週記
周遭	週遭
呷干	呷乾
呼卷	呼捲
咀咽	咀嚥
咎征	咎徵
咕老	咕老
咕老肉	咕咾肉
咨商	諮商
咨询	諮詢
咨诹	諮諏
咨谋	諮謀
咨议	諮議
咬姜	咬姜
咬姜呷醋	咬薑呷醋
咬字	咬字
咬字不准	咬字不準
咸味	鹹味
咸咸	鹹鹹
咸土	鹹土
咸度	鹹度
咸得	鹹得
咸水	鹹水
咸海	鹹海
咸淡	鹹淡
咸湖	鹹湖
咸汤	鹹湯
咸湿	鹹濕
咸的	鹹的
咸肉	鹹肉
咸菜	鹹菜
咸蛋	鹹蛋
咸猪	鹹豬
咸类	鹹類
咸鱼	鹹魚
咸鸭	鹹鴨
咸卤	鹹鹵
咽一	咽一
咽一口	嚥一口
咽下	嚥下
咽不	咽不
咽不下	嚥不下
咽不了	嚥不了
咽了	嚥了
咽住	嚥住
咽入	嚥入
咽口	咽口
咽口水	嚥口水
咽唾	嚥唾
咽嚼	嚥嚼
咽回	嚥回
咽得	咽得
咽得下	嚥得下
咽气	嚥氣
咽苦	咽苦
咽苦吞甘	嚥苦吞甘
咽着	嚥著
咽食	嚥食
哀吊	哀弔
品汇	品彙
品尝	品嚐
哆罗	哆羅
哆罗哆嗦	哆囉哆嗦
哈罗	哈囉
哈里	哈里
员干	員干
员干将	員幹將
哥里	哥里
哪里	哪裡
哪象	哪像
哲云	哲云
唁吊	唁弔
唇干	唇乾
唇燥	唇燥
唇燥舌干	唇燥舌乾
唱游	唱遊
唾面	唾面
唾面自干	唾面自乾
商周	商周
商历	商曆
商铺	商舖
启发	啟發
啷当	啷噹
喂动	喂動
喂动物	餵動物
喂它	餵牠
喂羊	餵羊
喂猪	餵豬
喂马	餵馬
喂鱼	餵魚
善斗	善鬥
喉干	喉乾
喉干舌燥	喉乾舌燥
喉头	喉頭
喉头发干	喉頭發乾
喑哑	瘖啞
喝一	喝一
喝一坛	喝一罈
喝三	喝三
喝三坛	喝三罈
喝两	喝兩
喝两坛	喝兩罈
喝干	喝乾
喝斗	喝斗
喝斗声	喝鬥聲
喝白	喝白
喝白干	喝白乾
喧染	渲染
单单	單單
单于	單于
嗟吁	嗟吁
叹服	歎服
叹为	歎為
叹吁	嘆吁
叹羡	歎羨
叹赏	歎賞
喽罗	嘍囉
哗众	嘩眾
哗众取宠	譁眾取寵
唠叼	嘮叨
嘴干	嘴乾
嘹亮	嘹喨
嘘唏	歔欷
噪动	譟動
噪诈	譟詐
噫吁	噫吁
喷涂	噴塗
噜噜	嚕嚕
噜噜苏苏	嚕嚕囌囌
噜苏	嚕囌
严复	嚴復
啰里	囉里
嘱托	囑託
四个	四個
四只	四隻
四天	四天
四海	四海
四海里	四海里
四舍	四捨
四里	四里
四里余	四里餘
回佣	回佣
回光	回光
回光反照	迴光反照
回光返照	迴光返照
回卷	回捲
回圈	迴圈
回报	回報
回廊	迴廊
回复	回覆
回文	回文
回文诗	迴文詩
回旋	迴旋
回历	回曆
回冲	回衝
回游	迴游
回然	迥然
回环	迴環
回纹	迴紋
回绕	迴繞
回翔	迴翔
回肠	迴腸
回肠荡气	迴腸蕩氣
回荡	迴蕩
回诵	迴誦
回避	迴避
回銮	迴鑾
回阳	回陽
回阳荡气	迴陽蕩氣
回响	迴響
回响当	迴響當
回风	迴風
因奸	因奸
因奸成孕	因姦成孕
困乏	睏乏
困倦	睏倦
困意	睏意
困兽	困獸
困兽之斗	困獸之鬥
困兽斗	困獸鬥
困兽犹斗	困獸猶鬥
囹围	囹圉
固定	固定
固定制	固定制
圈梁	圈樑
国制	國製
国制定	國制定
国制度	國制度
国制订	國制訂
国家	國家
国小	國小
国小只	國小只
国历	國曆
国历代	國歷代
国历任	國歷任
国历史	國歷史
国历届	國歷屆
国历年	國歷年
国历尽	國歷盡
国历经	國歷經
国历险	國歷險
园游	園游
园游会	園遊會
圆椎	圓錐
图象	圖像
团伙	團夥
团子	糰子
团粉	糰粉
土制	土製
地一	地一
地一卷	地一捲
地卷	地捲
地干	地干
地干吧	地幹吧
地干杯	地乾杯 
地干燥	地乾燥
地干裂	地乾裂
地志	地誌
地冲	地衝
均沾	均霑
坎顶	崁頂
坐着	坐著
坤范	坤範
坦护	袒護
垂发	垂髮
垂范	垂範
型状	形狀
型范	型範
埃里	埃裡
埃里温	埃里溫
埔里	埔里
基准	基準
基干	基幹
报废	報廢
报废后	報廢後
报道	報導
塑象	塑像
塔里	塔裡
塔里木	塔里木
墓志	墓誌
坠胎	墮胎
增辟	增闢
墨沈	墨沈
墨沈未干	墨瀋未乾
垦辟	墾闢
坛佳	壇佳
坛佳酿	罈佳釀
坛坛	壇壇
坛坛罐罐	罈罈罐罐
坛女	壇女
坛女儿红	罈女兒紅
坛好	壇好
坛好酒	罈好酒
坛子	罈子
坛烧	壇燒
坛烧刀子	罈燒刀子
坛白	壇白
坛白干	罈白干
坛美	壇美
坛美酒	罈美酒
坛老	壇老
坛老酒	罈老酒
坛酒	罈酒
坛醋	罈醋
坛陈	壇陳
坛陈年	罈陳年
坛騞	罈騞
坛高	壇高
坛高粱	罈高粱
壑然	豁然
压咸	壓鹹
压面	壓面
压面棍	壓麵棍
坏签	壞籤
壶范	壺範
寿面	壽麵
夏历	夏曆
外制	外製
外强	外強
外强中干	外強中乾
外御	外御
外御强敌	外禦強敵
外松	外松
外松内紧	外鬆內緊
外涂	外塗
多丑	多醜
多余	多餘
多出	多出
多出电影	多齣電影
多少	多少
多少只	多少隻
多干	多干
多干了	多乾了
多干干	多乾乾
多干扰	多干擾
多干杯	多乾杯
多干涉	多干涉
多干净	多乾淨
多干燥	多乾燥
多干爽	多乾爽
多干系	多干系
多干脆	多乾脆
多干预	多干預
多海	多海
多海里	多海里
多里	多里
多么	多麼
多么丑	多麼醜
夜光	夜光
夜光表	夜光錶
夜游	夜遊
够不	夠不
够不着	搆不著
够准	夠準
够怨	搆怨
够涂	夠塗
够赞	夠讚
够钟	夠鐘
够钟情	夠鍾情
够钟爱	夠鍾愛
梦回	夢迴
梦游	夢遊
梦系	夢繫
大丑	大醜
大伙	大夥
大伙人	大夥人
大伙儿	大夥兒
大利	大利
大利面	大利麵
大只	大隻
大小	大小
大小只	大小只
大干	大干
大干特干	大幹特幹
大斗	大鬥
大历	大曆
大历史	大歷史
大润	大潤
大润发	大潤發
大冲	大沖
大冲击	大衝擊
大赞	大讚
天佑	天祐
天干	天干
天干物燥	天乾物燥
天后	天后
天生	天生
天生干	天生幹
天翻	天翻
天翻地复	天翻地覆
天象	天象
太不	太不
太不准	太不準
太丑	太醜
太准	太準
太初	太初
太初历	太初曆
太咸	太鹹
太太	太太
太干	太乾
太后	太后
太后面	太後面
太松	太鬆
太监	太監
太象	太像
夫奸	夫姦
夫役	伕役
失准	失準
夹衣	裌衣
夹袄	裌襖
奇丑	奇醜
奇准	奇準
奇迹	奇蹟
奏折	奏摺
奕棋	弈棋
奥斯	奧斯
奥斯卡	奧斯卡
夺斗	奪鬥
夺杯	奪盃
奋斗	奮鬥
奸凶	姦凶
奸夫	姦夫
奸妇	姦婦
奸尸	姦屍
奸情	姦情
奸拐	姦拐
奸杀	姦殺
奸污	姦污
奸淫	姦淫
奸盗	姦盜
奸通	姦通
她丑	她醜
她干	她幹
她干儿子	她乾兒子
她干女儿	她乾女兒
她干扰	她干擾
她干涉	她干涉
她干净	她乾淨
她干爹	她乾爹
她干脆	她乾脆
她干预	她干預
她象	她像
好丑	好醜
好像	好像
好像征式	好象徵式
好像征性	好象徵性
好准	好準
好咸	好鹹
好困	好困
好困吧	好睏吧
好困啊	好睏啊
好好	好好
好好地干	好好地幹
好好干	好好幹
好干	好幹
好斗	好鬥
好烟	好菸
好签	好籤
好象	好像
如何	如何
如何干	如何幹
如坐	如坐
如坐针毯	如坐針氈
如果	如果
如果象	如果像
姑负	辜負
姓名	姓名
姓名是于	姓名是于
姓于	姓于
姓钟	姓鍾
委托	委託
姜就	姜就
姜就是老	薑就是老
姜愈	姜愈
姜愈老	薑愈老
姜是	薑是
姜是老	薑是老
姜末	薑末
姜汁	薑汁
姜油	薑油
姜汤	薑湯
姜片	薑片
姜糖	薑糖
姜丝	薑絲
姜老	姜老
姜老辣	薑老辣
姜花	薑花
姜茶	薑茶
姜葱	薑蔥
姜还	姜還
姜还是老	薑還是老
姜醋	薑醋
姜饼	薑餅
姜黄	薑黃
姣洁	皎潔
娉亭	娉婷
婀挪	婀娜
嫌凶	嫌兇
嬉游	嬉遊
娇揉	嬌揉
娇揉造作	矯揉造作
嬖幸	嬖倖
嬴余	嬴餘
子姜	子薑
子钟	子鐘
子云	子云
字汇	字彙
存折	存摺
孱杂	羼雜
它象	它像
宅弟	宅第
宅紫	奼紫
守御	守禦
安全	安全
宏基	宏碁
定准	定準
定制	定製
定干	定幹
定干吧	定幹吧
客游	客遊
宣传	宣傳
宣传周	宣傳週
宣布	宣佈
室内	室內
宦游	宦遊
宴游	宴遊
家丑	家醜
家伙	傢伙
家俱	傢俱
家私	傢俬
家里	家裡
宸游	宸遊
容范	容範
寂聊	寂寥
寄托	寄託
密布	密佈
密折	密摺
密致	密緻
富余	富餘
寒仓	寒傖
寒喧	寒暄
寒栗	寒慄
寒而	寒而
寒而栗	寒而慄
寡欲	寡慾
实干	實幹
实象	實像
宁舍	寧捨
写字	寫字
写字台	寫字檯
宽松	寬鬆
宽范	寬範
寸余	寸餘
封后	封后
射不	射不
射不准	射不準
射准	射準
射雕	射鵰
专干	專幹
尊范	尊範
寻准	尋準
寻麻	蕁麻
对准	對準
对干	對幹
对华	對華
对着	對著
对象	對象
对象征	對象徵
导游	導遊
小丑	小丑
小丑丫鬟	小醜丫鬟
小伙	小夥
少干	少幹
少干扰	少干擾
少干涉	少干涉
少干系	少干係
少干预	少干預
少冲	少衝
少海	少海
少海里	少海里
少里	少里
尚余	尚餘
尤如	猶如
尤带	猶帶
尤怜	猶憐
尤疑	猶疑
尤里	尤里
尤豫	猶豫
就像	就像
就像征	就象徵
就吃	就吃
就吃干	就吃乾
就干	就干
就干一	就幹一
就干一杯	就乾一杯
就干吧	就幹吧
就干扰	就干擾
就干杯	就乾杯
就干涉	就干涉
就干净	就乾淨
就干爽	就乾爽
就干脆	就乾脆
就干预	就干預
就范	就範
就象	就像
尺余	尺餘
局促	侷促
局蹙	跼蹙
局躅	跼躅
局限	侷限
居里	居里
屋内	屋內
屋梁	屋樑
尸位	尸位
尸禄	尸祿
展布	展佈
屡仆	屢仆
层理	層理
属制	屬製
屯扎	屯紮
山岳	山嶽
山涯	山崖
山羊	山羊
山羊胡	山羊鬍
山羊须	山羊鬚
岳峙	嶽峙
岳立	嶽立
峇里	峇里
峇厘	峇里
峰回	峰迴
岛炼	島鍊
嵇首	稽首
巡回	巡迴
巡戈	巡弋
巡游	巡遊
工余	工餘
左冲	左衝
巧干	巧幹
巨制	巨製
巨子	鉅子
巨细	鉅細
巨细靡遗	鉅細靡遺
巨须	巨鬚
巨鹿	鉅鹿
己干	己幹
已余	已餘
已愈	已癒
已松	已鬆
已松下	已鬆下
已经	已經
已经斗	已經鬥
已经象	已經像
已象	已像
已象征战	已像征戰
已象征服	已像征服
巴尔	巴爾
巴尔干	巴爾幹
巴西	巴西
巴厘	峇里
布一	布一
布一个	佈一個
布伏	佈伏
布个	佈個
布兵	佈兵
布告	佈告
布坛	佈壇
布导	佈導
布局	佈局
布岗	佈崗
布于	佈於
布施	佈施
布景	佈景
布满	佈滿
布疑	布疑
布疑阵	佈疑陣
布置	佈置
布署	佈署
布着	佈著
布里	布里
布里斯托	布里斯托
布谷	布穀
布防	佈防
布阵	佈陣
布雷	佈雷
希拉	希拉
希拉里	希拉里
帕特	帕特
帕特里	帕特里
帝后	帝后
师云	師云
师云而云	師云而云
师范	師範
席卷	席捲
席子	蓆子
带征	帶徵
带发	帶髮
带着	帶著
常干	常幹
帽璎	帽纓
幡间	墦間
干一	幹一
干一坛	乾一罈
干一坛法	幹一壇法
干一杯	乾一杯
干一碗	乾一碗
干上	幹上
干下	干下
干下去	幹下去
干不	幹不
干不下	幹不下
干不干	幹不幹
干不干杯	乾不乾杯
干不干净	乾不乾淨
干了	幹了
干事	幹事
干井	乾井
干些	幹些
干什	幹什
干他	幹他
干件	幹件
干任	干任
干任何	幹任何
干份	幹份
干伸	干伸
干伸舌	乾伸舌
干似	乾似
干何	干何
干何事	幹何事
干你	幹你
干你娘	幹你娘
干个	幹個
干假	幹假
干傻	干傻
干傻事	幹傻事
干儿	乾兒
干两	干兩
干两年	幹兩年
干两杯	乾兩杯
干冒	干冒
干冒烟	乾冒煙
干冰	乾冰
干冷	乾冷
干出	幹出
干别	干別
干别的	幹別的
干到	幹到
干劲	幹勁
干化	乾化
干又	干又
干又热	乾又熱
干吏	幹吏
干咳	乾咳
干咽	乾嚥
干品	乾品
干员	幹員
干哥	乾哥
干哪	幹哪
干哭	乾哭
干哑	乾啞
干啥	幹啥
干吗	幹嗎
干呕	乾嘔
干嘛	幹嘛
干嚎	乾嚎
干土	乾土
干坐	干坐
干坐着	乾坐著
乾坤	乾坤
干坛	乾罈
干坛主	幹壇主
干坛法	幹壇法
干坏	干壞
干坏事	幹壞事
干大	干大
干大事	幹大事
干女	干女
干女儿	乾女兒
干女友	幹女友
干女同事	幹女同事
干女婿	乾女婿
干女教师	幹女教師
干她	幹她
干好	幹好
干妹	乾妹
干姊	乾姊
干姐	乾姐
干姜	乾薑
干娘	乾娘
干妈	乾媽
干季	乾季
干孙	乾孫
干完	幹完
干就	干就
干就干	幹就幹
干尸	乾屍
干巴	乾巴
干巴巴	乾巴巴
干布	乾布
干干	乾乾
干干巴巴	乾乾巴巴
干干净净	乾乾淨淨
干干爽爽	乾乾爽爽
干干瘦瘦	乾乾瘦瘦
干干的	乾乾的
干干脆脆	乾乾脆脆
干几	干幾
干几件	幹幾件
干几宗	幹幾宗
干几手	乾幾手
干几杯	乾幾杯
干几桩	幹幾樁
干几番	幹幾番
干几碗	乾幾碗
干几辈	幹幾輩
干底	乾底
干弋	干戈
干式	乾式
干弟	乾弟
干强	干強
干强盗	幹強盜
干得	幹得
干得一杯	乾得一杯
干得三杯	乾得三杯
干得两杯	乾得兩杯
干得很	乾得很
干性	乾性
干惯	幹慣
干成	幹成
干我	幹我
干手	干手
干手净脚	乾手淨腳
干才	幹才
干打	干打
干打雷	乾打雷
干掉	幹掉
干掉一杯	乾掉一杯
干掉一瓶	乾掉一瓶
干掉一碗	乾掉一碗
干掉杯	乾掉杯
干掉这杯	乾掉這杯
干掉这碗	乾掉這碗
干掉那杯	乾掉那杯
干掉那碗	乾掉那碗
干探	幹探
干撇	干撇
干撇下	乾撇下
干搁	乾擱
干数	干數
干数杯	乾數杯
干料	乾料
干旱	乾旱
干晒	乾曬
干材	幹材
干杯	乾杯
干果	乾果
干枝	乾枝
干枯	乾枯
干架	幹架
干柴	乾柴
干校	幹校
干梅	乾梅
干桩	幹樁
干正	干正
干正事	幹正事
干此	幹此
干此坛	乾此罈
干此杯	乾此杯
干毛	干毛
干毛巾	乾毛巾
干江	灨江
干沙	乾沙
干泥	乾泥
干洗	乾洗
干活	幹活
干流	幹流
干涸	乾涸
干净	乾淨
干清	干清
干清宫	乾清宮
干渴	乾渴
干涩	乾澀
干涧	乾澗
干湿	乾濕
干湿发	乾濕髮
干焦	乾焦
干熬	乾熬
干热	乾熱
干烧	乾燒
干燥	乾燥
干爸	乾爸
干爹	乾爹
干爽	乾爽
干犯	干犯
干犯法	幹犯法
干球	幹球
干甚	幹甚
干生	干生
干生气	乾生氣
干疤	乾疤
干瘦	乾瘦
干瘪	乾癟
干瘾	乾癮
干发	乾髮
干的	干的
干的好	幹的好
干尽	幹盡
干尽一坛	乾盡一磹
干尽一壶	乾盡一壺
干尽一杯	乾盡一杯
干尽一碗	乾盡一碗
干眼	乾眼
干瞪	乾瞪
干硬	乾硬
干窘	乾窘
干站	干站
干站着	乾站著
干笑	乾笑
干等	乾等
干粉	乾粉
干粗	干粗
干粗活	幹粗活
干粮	乾糧
干系	干係
干细	干細
干细胞	幹細胞
干结	乾結
乾丝	乾絲
乾纲	干綱
乾纲不振	乾綱不振
干线	幹線
干练	幹練
干耗	乾耗
干声	乾聲
干肉	乾肉
干肉贩	幹肉販
干股	乾股
干脆	乾脆
干花	乾花
干草	乾草
干菜	乾菜
干叶	乾葉
干着	幹著
乾着急	乾著急
干薪	乾薪
干号	乾號
干衣	乾衣
干裂	乾裂
干警	幹警
干货	乾貨
干货物	幹貨物
干买	干買
干买卖	幹買賣
干起	幹起
干路	幹路
干办	幹辦
干农	干農
干农活	幹農活
干透	乾透
干这	幹這
干这一杯	乾這一杯
干这杯	乾這杯
干过	幹過
干过一杯	乾過一杯
干过杯	乾過杯
干过瘾	乾過癮
干道	幹道
干那	幹那
干那一杯	乾那一杯
干那杯	乾那杯
干部	幹部
干酪	乾酪
干醋	乾醋
干错	幹錯
干阳	乾陽
乾隆	乾隆
干电	干電
干电池	乾電池
干面	乾麵
干面前	乾面前
干饭	乾飯
干么	幹麼
干点	幹點
干！	幹！
平准	平準
平台	平台
年余	年餘
年准	年准
年准到	年準到
年历	年曆
年历史	年歷史
幸免	倖免
幸存	倖存
幸幸	倖幸
幽郁	幽鬱
几乎	幾乎
几乎象	幾乎像
几个	幾個
几出	幾齣
几只	幾隻
几周	幾週
几天	幾天
几天后	幾天後
几案	几案
几海	幾海
几海里	幾海里
几净	几淨
几里	幾里
庇里	庇裡
庇里牛斯	庇里牛斯
床席	床蓆
床第	床笫
底里	底里
店伙	店夥
店铺	店舖
座象	座像
康愈	康癒
厨余	廚餘
厮斗	廝鬥
厮斗然	廝陡然
废后	廢后
广布	廣佈
广征	廣徵
延长	延長
廿余	廿餘
弄干	弄乾
弄松	弄鬆
弄面	弄面
弄面吃	弄麵吃
引发	引發
弘历	弘曆
弛骋	馳騁
弦乐	絃樂
弦歌	絃歌
弦琴	絃琴
弦管	絃管
弦索	絃索
弦线	絃線
弱干	弱幹
强力	強力
强力干性	強力乾性
强力干湿	強力乾濕
强台	強颱
强奸	強姦
强干	強幹
强干扰	強干擾
强干杯	強乾杯
强干涉	強干涉
强干脆	強乾脆
强干预	強干預
强征	強徵
强御	強禦
强冲	強衝
强界	疆界
弹子	彈子
弹子台	彈子檯
弹涂	彈塗
弹珠	彈珠
弹珠台	彈珠檯
弥山	彌山
弥山遍野	瀰山遍野
弥弥	瀰瀰
弥散	瀰散
弥漫	瀰漫
弥蒙	瀰濛
形单	形單
形单影只	形單影隻
形影	形影
形影相吊	形影相弔
形象	形象
彩女	綵女
彩带	綵帶
彩排	綵排
彩杖	綵杖
彩棚	綵棚
彩楼	綵樓
彩灯	綵燈
彩牌	綵牌
彩球	綵球
彩笔	彩筆
彩笔生	綵筆生
彩绸	綵綢
彩线	綵線
彩缎	綵緞
彩缯	綵繒
彩衣	綵衣
彩裳	綵裳
彩头	綵頭
彩凤	綵鳳
彩鸾	綵鸞
影后	影后
影象	影像
彷佛	彷彿
彷徨	徬徨
彼彼	彼彼
彼彼皆是	比比皆是
往外	往外
往外斗	往外鬥
往外冲	往外衝
往后	往後
往后冲	往後衝
征了	徵了
征人	徵人
征信	徵信
征个	徵個
征候	徵候
征兆	徵兆
征入	徵入
征兵	徵兵
征募	徵募
征去	徵去
征友	徵友
征取	徵取
征召	徵召
征启	徵啟
征地	徵地
征婚	徵婚
征引	徵引
征得	徵得
征意	征意
征意见	徵意見
征收	徵收
征敛	徵斂
征文	徵文
征服	征服
征服兵	徵服兵
征求	徵求
征片	徵片
征状	徵狀
征用	徵用
征税	徵稅
征稿	徵稿
征管	徵管
征粮	徵糧
征纳	徵納
征缴	徵繳
征聘	徵聘
征诏	徵詔
征询	徵詢
征调	徵調
征象	徵象
征财	徵財
征费	徵費
征赋	徵賦
征购	徵購
征逐	徵逐
征选	徵選
征集	徵集
很丑	很醜
很准	很準
很咸	很鹹
很干	很乾
很松	很鬆
很象	很像
后冠	后冠
后制	後製
后土	后土
后奸	後姦
后妃	后妃
后梁	後樑
后稷	后稷
后羿	后羿
后象	後像
后象征服	後像征服
径取	逕取
径启	逕啟
径寄	逕寄
径庭	逕庭
径砸	逕砸
径答	逕答
径自	逕自
徒峭	陡峭
徒托	徒託
得准	得準
得准不准	得準不準
得象	得像
徜若	倘若
御侮	禦侮
御制	御製
御寇	禦寇
御寒	禦寒
御敌	禦敵
徨恐	惶恐
复亡	覆亡
复仞	復仞
复仞年如	複仞年如
复以	復以
复以百万	複以百萬
复信	覆信
复函	覆函
复分	復分
复分数	複分數
复分解	複分解
复列	複列
复利	複利
复制	複製
复印	複印
复句	複句
复合	復合
复合传动	複合傳動
复合包装	複合包裝
复合型	複合型
复合增长	複合增長
复合字	複合字
复合式	複合式
复合性	複合性
复合技	複合技
复合材料	複合材料
复合板	複合板
复合架	複合架
复合模	複合模
复合机	複合機
复合物	複合物
复合管	複合管
复合膜	複合膜
复合药	複合藥
复合装甲	複合裝甲
复合词	複合詞
复合金属	複合金屬
复合体	複合體
复名	復名
复命	覆命
复基	復基
复基因	複基因
复壁	複壁
复姓	複姓
复字	復字
复字键	複字鍵
复审	覆審
复写	複寫
复巢	覆巢
复式	複式
复复	覆覆
复败	覆敗
复数	複數
复文	覆文
复方	複方
复书	覆書
复本	複本
复查	複查
复核	覆核
复检	複檢
复次	複次
复比	複比
复水	復水
复水难收	覆水難收
复决	複決
复没	覆沒
复测	複測
复灭	覆滅
复叠	覆疊
复目	複目
复相	復相
复相关	複相關
复眼	複眼
复种	複種
复线	複線
复习	複習
复舟	覆舟
复色	複色
复叶	複葉
复盖	覆蓋
复苏	復甦
复诊	複診
复词	複詞
复试	複試
复变	複變
复赛	複賽
复车	復車
复车之戒	覆車之戒
复辙	覆轍
复述	複述
复选	複選
复钱	複錢
复阅	複閱
复杂	複雜
复电	覆電
复音	複音
复韵	複韻
微松	微鬆
微软	微軟
微须	微鬚
德里	德里
徽菌	黴菌
心底	心底
心底里	心底裡
心理	心理
心相	心相
心相系	心相繫
心系	心繫
心系统	心系統
心细	心細
心细似发	心細似髮
心细如发	心細如髮
心脏	心臟
必游	必遊
必须	必須
必须品	必需品
忍饥	忍饑
志哀	誌哀
志喜	誌喜
志庆	誌慶
志异	誌異
志发	志發
快且	快且
快且准	快且準
快卷	快捲
快又	快又
快又准	快又準
快吃	快吃
快吃干	快吃乾
快干	快干
快干不	快幹不
快干了	快乾了
快干事	快幹事
快干吧	快幹吧
快干嘛	快幹嘛
快干完	快幹完
快干杯	快乾杯
快干死	快幹死
快干活	快幹活
快干裂	快乾裂
快干	快幹
快干啊	快幹啊
快快	快快
快快干	快快幹
快松	快松
快松下	快鬆下
快冲	快衝
快狠	快狠
快狠准	快狠準
快而	快而
快而准	快而準
快舍	快舍
快舍下	快捨下
念一	念一
念一念	唸一唸
念一声	唸一聲
念下	念下
念下去	唸下去
念了	念了
念了一声	唸了一聲
念佛	唸佛
念作	唸作
念来	念來
念来念去	唸來唸去
念到	唸到
念咒	唸咒
念好	唸好
念完	唸完
念得	唸得
念念	唸唸
念成	唸成
念书	唸書
念法	唸法
念给	唸給
念经	唸經
念着	唸著
念诵	唸誦
念起	念起
念起来	唸起來
念过	唸過
念错	唸錯
念点	唸點
忽松	忽鬆
忽舍	忽舍
忽舍下	忽捨下
怎幺	怎麼
怎么	怎麼
怎么干	怎麼幹
怎么斗	怎麼鬥
怒气	怒氣
怒气冲冲	怒氣衝衝
怒发	怒發
怒发冲冠	怒髮衝冠
怒发冲天	怒髮衝天
怕丑	怕醜
怖栗	怖慄
急卷	急捲
急征	急徵
急冲	急衝
性征	性徵
性欲	性慾
恂栗	恂慄
恢复	恢復
耻夺	褫奪
恭逢	躬逢
息影	息影
息影后	息影後
恰象	恰像
悒郁	悒鬱
悚栗	悚慄
悠游	悠遊
悲戚	悲慼
悲泯	悲憫
悲郁	悲鬱
闷郁	悶鬱
悸栗	悸慄
情欲	情慾
惕栗	惕慄
恶心	噁心
恶斗	惡鬥
想干	想幹
想干净	想乾淨
想干笑	想乾笑
想干脆	想乾脆
想斗	想鬥
想着	想著
想象	想像
惴栗	惴慄
惶栗	惶慄
惺松	惺忪
愁郁	愁鬱
愈卷	愈捲
愈合	癒合
愈合乎	愈合乎
愈合他	愈合他
愈合作	愈合作
愈合她	愈合她
愈合式	愈合式
愈合得	愈合得
愈合心	愈合心
愈合情	愈合情
愈合意	愈合意
愈合我	愈合我
愈合拍	愈合拍
愈合拢	愈合攏
愈合于	愈合於
愈合理	愈合理
愈合用	愈合用
愈合身	愈合身
愈合适	愈合適
愈斗	愈斗
愈斗愈	愈鬥愈
愈疮	癒瘡
愈象	愈像
意函	意涵
意兴	意興
意兴阑姗	意興闌珊
愚暗	愚闇
爱屋	愛屋
爱屋及鸟	愛屋及烏
爱欲	愛慾
感觉	感覺
感觉象	感覺像
惨栗	慘慄
慢咽	慢嚥
慰借	慰藉
忧郁	憂鬱
憋脚	蹩腳
凭借	憑藉
凭准	憑準
凭吊	憑弔
憔瘁	憔悴
恳托	懇託
懈松	懈鬆
懈迨	懈怠
应征	應徵
应象	應像
懊郁	懊鬱
懔栗	懍慄
懰栗	懰慄
怀表	懷錶
悬梁	懸樑
悬臂	懸臂
悬臂梁	懸臂樑
惧栗	懼慄
懿范	懿範
戊戍	戊戌
戊卫	戌衛
成长	成長
我丑	我醜
我干	我幹
我干一杯	我乾一杯
我干儿子	我乾兒子
我干女儿	我乾女兒
我干扰	我干擾
我干杯	我乾杯
我干涉	我干涉
我干爹	我乾爹
我干脆	我乾脆
我干预	我干預
我白	我白
我白干	我白幹
我象	我像
戒烟	戒菸
或咸	或鹹
或松	或鬆
或系	或系
或系之牛	或繫之牛
或采	或採
戚嗟	慼嗟
戚忧	慼憂
戚戚	慼慼
戚然	慼然
戚颜	慼顏
战天	戰天
战天斗地	戰天鬥地
战斗	戰鬥
战栗	顫慄
戏彩	戲綵
戏扎	戲紮
戴克	戴克
戴克里先	戴克里先
戴表	戴錶
所余	所餘
所制	所制
所制约	所制約
所制造	所製造
所卷	所捲
所布	所布
所布之	所佈之
所布的	所佈的
所干	所幹
所扎	所紮
所系	所繫
所见	所見
所见而云	所見而云
所谓	所謂
所谓而云	所謂而云
所讥	所譏
所讥而云	所譏而云
所采	改採
所钟	所鍾
所云	所云
扁锉	扁銼
扇动	搧動
扇耳	扇耳
扇耳光	搧耳光
扇开	搧開
扇风	搧風
手一	手一
手一卷	手一捲
手一松	手一鬆
手不	手不
手不松	手不鬆
手松	手鬆
手炼	手鍊
手表	手錶
手表态	手表態
手表演	手表演
手表现	手表現
手表示	手表示
手表达	手表達
手里	手裡
手里余	手裡餘
手采	手採
才不	才不
才不干杯	才不乾杯
才不干枯	才不乾枯
才不干涸	才不乾涸
才不干渴	才不乾渴
才不干燥	才不乾燥
才干	才幹
才干了杯	才乾了杯
才干干净	才乾乾淨
才干旱	才乾旱
才干杯	才乾杯
才干枯	才乾枯
才干涸	才乾涸
才干净	才乾淨
才干爽	才乾爽
才干耗	才乾耗
才干脆	才乾脆
才乾着急	才乾著急
才干透	才乾透
才干这杯	才乾這杯
才干那杯	才乾那杯
才松	才松
才松下	才鬆下
才象	才像
扎上	紮上
扎下	紮下
扎了	紮了
扎住	紮住
扎囮	紮囮
扎在	紮在
扎好	紮好
